tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,15680,0.0742,0.125,128,1,4,32,1,4,182,0,69632
32,15072,0.1206,0.125,128,1,4,32,1,4,182,0,69632
48,15392,0.1631,0.125,128,1,4,32,1,4,182,0,69632
64,15744,0.2047,0.125,128,1,4,32,1,4,182,0,69632
80,16320,0.2352,0.125,128,1,4,32,1,4,182,0,69632
96,16672,0.2718,0.125,128,1,4,32,1,4,182,0,69632
112,16832,0.3062,0.125,128,1,4,32,1,4,182,0,69632
128,16992,0.3387,0.125,128,1,4,32,1,4,182,0,69632
144,23744,0.3126,0.125,128,1,4,32,1,4,182,0,69632
160,24256,0.343,0.125,128,1,4,32,1,4,182,0,69632
176,24448,0.365,0.125,128,1,4,32,1,4,182,0,69632
192,24480,0.3994,0.125,128,1,4,32,1,4,182,0,69632
208,27584,0.4419,0.125,128,1,4,32,1,4,182,0,69632
224,27680,0.4617,0.125,128,1,4,32,1,4,182,0,69632
240,29152,0.4708,0.125,128,1,4,32,1,4,182,0,69632
256,29152,0.4958,0.125,128,1,4,32,1,4,182,0,69632
272,34496,0.466,0.125,128,1,4,32,1,4,182,0,69632
288,36064,0.486,0.125,128,1,4,32,1,4,182,0,69632
304,37248,0.5139,0.125,128,1,4,32,1,4,182,0,69632
320,37152,0.5322,0.125,128,1,4,32,1,4,182,0,69632
336,40608,0.5369,0.125,128,1,4,32,1,4,182,0,69632
352,39904,0.5511,0.125,128,1,4,32,1,4,182,0,69632
368,42560,0.57,0.125,128,1,4,32,1,4,182,0,69632
384,41760,0.5756,0.125,128,1,4,32,1,4,182,0,69632
400,46720,0.5489,0.125,128,1,4,32,1,4,182,0,69632
416,47232,0.5738,0.125,128,1,4,32,1,4,182,0,69632
432,48064,0.5864,0.125,128,1,4,32,1,4,182,0,69632
448,48672,0.6095,0.125,128,1,4,32,1,4,182,0,69632
464,49440,0.6155,0.125,128,1,4,32,1,4,182,0,69632
480,51488,0.6202,0.125,128,1,4,32,1,4,182,0,69632
496,52288,0.6271,0.125,128,1,4,32,1,4,182,0,69632
512,52416,0.6356,0.125,128,1,4,32,1,4,182,0,69632
528,58048,0.6022,0.125,128,1,4,32,1,4,182,0,69632
544,58752,0.6164,0.125,128,1,4,32,1,4,182,0,69632
560,59104,0.6372,0.125,128,1,4,32,1,4,182,0,69632
576,59744,0.6444,0.125,128,1,4,32,1,4,182,0,69632
592,59808,0.6696,0.125,128,1,4,32,1,4,182,0,69632
608,60864,0.6629,0.125,128,1,4,32,1,4,182,0,69632
624,60896,0.6853,0.125,128,1,4,32,1,4,182,0,69632
640,61696,0.6996,0.125,128,1,4,32,1,4,182,0,69632
656,66848,0.66,0.125,128,1,4,32,1,4,182,0,69632
672,68064,0.6663,0.125,128,1,4,32,1,4,182,0,69632
688,67008,0.6712,0.125,128,1,4,32,1,4,182,0,69632
704,68864,0.6962,0.125,128,1,4,32,1,4,182,0,69632
720,69824,0.6915,0.125,128,1,4,32,1,4,182,0,69632
736,70656,0.691,0.125,128,1,4,32,1,4,182,0,69632
752,70848,0.7089,0.125,128,1,4,32,1,4,182,0,69632
768,71072,0.7231,0.125,128,1,4,32,1,4,182,0,69632
784,76064,0.6829,0.125,128,1,4,32,1,4,182,0,69632
800,76320,0.7022,0.125,128,1,4,32,1,4,182,0,69632
816,77120,0.7009,0.125,128,1,4,32,1,4,182,0,69632
832,77728,0.7154,0.125,128,1,4,32,1,4,182,0,69632
848,78144,0.7211,0.125,128,1,4,32,1,4,182,0,69632
864,79232,0.728,0.125,128,1,4,32,1,4,182,0,69632
880,80256,0.752,0.125,128,1,4,32,1,4,182,0,69632
896,80480,0.7511,0.125,128,1,4,32,1,4,182,0,69632
912,84384,0.7032,0.125,128,1,4,32,1,4,182,0,69632
