tokens,latency_ns
7760,3617600
7776,3573248
7792,3494144
7808,3414464
7824,3713024
7840,3657248
7856,3681312
7872,3679424
7888,3659936
7904,3598912
7920,3561504
7936,3580192
7952,3754080
7968,3763136
7984,3754848
8000,3743520
8016,3719040
8032,3652544
8048,3617536
8064,3608256
8080,3786688
8096,3778976
8112,3767200
8128,3800640
8144,3752928
8160,3709440
8176,3583808
8192,3678208
