tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,5856,0.0015,0.125,1,1,2,32,1,4,182,0,69632
32,5696,0.0021,0.125,1,1,2,32,1,4,182,0,69632
48,5472,0.0024,0.125,1,1,2,32,1,4,182,0,69632
64,5824,0.003,0.125,1,1,2,32,1,4,182,0,69632
80,5664,0.0033,0.125,1,1,2,32,1,4,182,0,69632
96,5920,0.0039,0.125,1,1,2,32,1,4,182,0,69632
112,5600,0.0042,0.125,1,1,2,32,1,4,182,0,69632
128,5888,0.0047,0.125,1,1,2,32,1,4,182,0,69632
144,5664,0.0051,0.125,2,1,2,32,1,4,182,0,69632
160,5696,0.0056,0.125,2,1,2,32,1,4,182,0,69632
176,5856,0.006,0.125,2,1,2,32,1,4,182,0,69632
192,5920,0.0066,0.125,2,1,2,32,1,4,182,0,69632
208,5792,0.0068,0.125,2,1,2,32,1,4,182,0,69632
224,5696,0.0075,0.125,2,1,2,32,1,4,182,0,69632
240,6016,0.0079,0.125,2,1,2,32,1,4,182,0,69632
256,6016,0.0081,0.125,2,1,2,32,1,4,182,0,69632
272,5600,0.0085,0.125,3,1,2,32,1,4,182,0,69632
288,5600,0.0093,0.125,3,1,2,32,1,4,182,0,69632
304,5920,0.0098,0.125,3,1,2,32,1,4,182,0,69632
320,5920,0.0103,0.125,3,1,2,32,1,4,182,0,69632
336,5664,0.0104,0.125,3,1,2,32,1,4,182,0,69632
352,5696,0.0109,0.125,3,1,2,32,1,4,182,0,69632
368,5952,0.0116,0.125,3,1,2,32,1,4,182,0,69632
384,5952,0.0118,0.125,3,1,2,32,1,4,182,0,69632
400,5632,0.012,0.125,4,1,2,32,1,4,182,0,69632
416,5696,0.0125,0.125,4,1,2,32,1,4,182,0,69632
432,5920,0.0133,0.125,4,1,2,32,1,4,182,0,69632
448,5952,0.014,0.125,4,1,2,32,1,4,182,0,69632
464,5824,0.0137,0.125,4,1,2,32,1,4,182,0,69632
480,5728,0.0147,0.125,4,1,2,32,1,4,182,0,69632
496,6016,0.0148,0.125,4,1,2,32,1,4,182,0,69632
512,6048,0.0155,0.125,4,1,2,32,1,4,182,0,69632
528,5984,0.0154,0.125,5,1,2,32,1,4,182,0,69632
544,5920,0.0156,0.125,5,1,2,32,1,4,182,0,69632
560,6176,0.0165,0.125,5,1,2,32,1,4,182,0,69632
576,6240,0.0177,0.125,5,1,2,32,1,4,182,0,69632
592,5984,0.0171,0.125,5,1,2,32,1,4,182,0,69632
608,5952,0.0176,0.125,5,1,2,32,1,4,182,0,69632
624,6208,0.0175,0.125,5,1,2,32,1,4,182,0,69632
640,6272,0.0189,0.125,5,1,2,32,1,4,182,0,69632
656,5984,0.0193,0.125,6,1,2,32,1,4,182,0,69632
672,5952,0.0194,0.125,6,1,2,32,1,4,182,0,69632
688,6176,0.0203,0.125,6,1,2,32,1,4,182,0,69632
704,6208,0.0204,0.125,6,1,2,32,1,4,182,0,69632
720,5952,0.021,0.125,6,1,2,32,1,4,182,0,69632
736,5952,0.0212,0.125,6,1,2,32,1,4,182,0,69632
752,6112,0.0223,0.125,6,1,2,32,1,4,182,0,69632
768,6240,0.0225,0.125,6,1,2,32,1,4,182,0,69632
784,5952,0.0226,0.125,7,1,2,32,1,4,182,0,69632
800,5952,0.0234,0.125,7,1,2,32,1,4,182,0,69632
