tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,6240,0.011,0.125,32,1,1,32,1,4,182,0,69632
32,5824,0.0186,0.125,32,1,1,32,1,4,182,0,69632
48,6048,0.0266,0.125,32,1,1,32,1,4,182,0,69632
64,5920,0.0335,0.125,32,1,1,32,1,4,182,0,69632
80,6080,0.0395,0.125,32,1,1,32,1,4,182,0,69632
96,6080,0.0454,0.125,32,1,1,32,1,4,182,0,69632
112,6272,0.0542,0.125,32,1,1,32,1,4,182,0,69632
128,6208,0.0588,0.125,32,1,1,32,1,4,182,0,69632
144,6336,0.0646,0.125,64,1,1,32,1,4,182,0,69632
160,6560,0.0689,0.125,64,1,1,32,1,4,182,0,69632
176,6336,0.0777,0.125,64,1,1,32,1,4,182,0,69632
192,6400,0.0813,0.125,64,1,1,32,1,4,182,0,69632
208,6400,0.0896,0.125,64,1,1,32,1,4,182,0,69632
224,6400,0.0962,0.125,64,1,1,32,1,4,182,0,69632
240,6560,0.0987,0.125,64,1,1,32,1,4,182,0,69632
256,6560,0.1042,0.125,64,1,1,32,1,4,182,0,69632
272,6624,0.1118,0.125,96,1,1,32,1,4,182,0,69632
288,6656,0.1159,0.125,96,1,1,32,1,4,182,0,69632
304,6688,0.1225,0.125,96,1,1,32,1,4,182,0,69632
320,6784,0.1247,0.125,96,1,1,32,1,4,182,0,69632
336,6848,0.1343,0.125,96,1,1,32,1,4,182,0,69632
352,6848,0.1326,0.125,96,1,1,32,1,4,182,0,69632
368,6816,0.1437,0.125,96,1,1,32,1,4,182,0,69632
384,6848,0.1482,0.125,96,1,1,32,1,4,182,0,69632
400,7008,0.1548,0.125,128,1,1,32,1,4,182,0,69632
416,7040,0.1591,0.125,128,1,1,32,1,4,182,0,69632
432,7008,0.1647,0.125,128,1,1,32,1,4,182,0,69632
448,7072,0.167,0.125,128,1,1,32,1,4,182,0,69632
464,7104,0.1692,0.125,128,1,1,32,1,4,182,0,69632
480,7136,0.1785,0.125,128,1,1,32,1,4,182,0,69632
496,7296,0.1766,0.125,128,1,1,32,1,4,182,0,69632
512,7360,0.1867,0.125,128,1,1,32,1,4,182,0,69632
528,9216,0.1575,0.125,160,1,1,32,1,4,182,0,69632
544,9152,0.1608,0.125,160,1,1,32,1,4,182,0,69632
