tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
1328,58976,0.3048,0.125,8,8,16,128,1,2,126,0,145024
1344,58976,0.3108,0.125,8,8,16,128,1,2,126,0,145024
1360,58624,0.3145,0.125,8,8,16,128,1,2,126,0,145024
1376,59264,0.3152,0.125,8,8,16,128,1,2,126,0,145024
1392,58880,0.3207,0.125,8,8,16,128,1,2,126,0,145024
1408,60224,0.3198,0.125,8,8,16,128,1,2,126,0,145024
1424,60960,0.3212,0.125,8,8,16,128,1,2,126,0,145024
1440,60672,0.325,0.125,8,8,16,128,1,2,126,0,145024
1456,59712,0.3279,0.125,8,8,16,128,1,2,126,0,145024
1472,61152,0.3315,0.125,8,8,16,128,1,2,126,0,145024
1488,60896,0.3323,0.125,8,8,16,128,1,2,126,0,145024
1504,60768,0.3374,0.125,8,8,16,128,1,2,126,0,145024
1520,61120,0.3374,0.125,8,8,16,128,1,2,126,0,145024
1536,60576,0.3316,0.125,8,8,16,128,1,2,126,0,145024
1552,62880,0.3378,0.125,8,8,16,128,1,2,126,0,145024
1568,63936,0.3409,0.125,8,8,16,128,1,2,126,0,145024
1584,63776,0.3399,0.125,8,8,16,128,1,2,126,0,145024
1600,63392,0.3425,0.125,8,8,16,128,1,2,126,0,145024
1616,64096,0.3459,0.125,8,8,16,128,1,2,126,0,145024
1632,64096,0.35,0.125,8,8,16,128,1,2,126,0,145024
1648,63264,0.35,0.125,8,8,16,128,1,2,126,0,145024
1664,64448,0.3492,0.125,8,8,16,128,1,2,126,0,145024
1680,65184,0.3488,0.125,8,8,16,128,1,2,126,0,145024
1696,65600,0.3537,0.125,8,8,16,128,1,2,126,0,145024
1712,66720,0.3581,0.125,8,8,16,128,1,2,126,0,145024
1728,66144,0.3629,0.125,8,8,16,128,1,2,126,0,145024
1744,65504,0.3578,0.125,8,8,16,128,1,2,126,0,145024
1760,65664,0.3647,0.125,8,8,16,128,1,2,126,0,145024
1776,66528,0.3679,0.125,8,8,16,128,1,2,126,0,145024
1792,66752,0.3583,0.125,8,8,16,128,1,2,126,0,145024
1808,68704,0.362,0.125,8,8,16,128,1,2,126,0,145024
1824,68320,0.3644,0.125,8,8,16,128,1,2,126,0,145024
1840,69312,0.3673,0.125,8,8,16,128,1,2,126,0,145024
1856,69984,0.3692,0.125,8,8,16,128,1,2,126,0,145024
1872,69600,0.3664,0.125,8,8,16,128,1,2,126,0,145024
1888,69984,0.3737,0.125,8,8,16,128,1,2,126,0,145024
1904,69376,0.3737,0.125,8,8,16,128,1,2,126,0,145024
1920,70304,0.3666,0.125,8,8,16,128,1,2,126,0,145024
1936,72192,0.3737,0.125,8,8,16,128,1,2,126,0,145024
1952,71840,0.3758,0.125,8,8,16,128,1,2,126,0,145024
1968,72320,0.3764,0.125,8,8,16,128,1,2,126,0,145024
1984,71616,0.3808,0.125,8,8,16,128,1,2,126,0,145024
2000,71648,0.3798,0.125,8,8,16,128,1,2,126,0,145024
2016,72960,0.3866,0.125,8,8,16,128,1,2,126,0,145024
2032,72160,0.3847,0.125,8,8,16,128,1,2,126,0,145024
2048,72192,0.3678,0.125,8,8,16,128,1,2,126,0,145024
2064,76000,0.3769,0.125,8,8,16,128,1,2,126,0,145024
2080,77056,0.3768,0.125,8,8,16,128,1,2,126,0,145024
2096,76672,0.3794,0.125,8,8,16,128,1,2,126,0,145024
2112,76832,0.38,0.125,8,8,16,128,1,2,126,0,145024
2128,76864,0.3832,0.125,8,8,16,128,1,2,126,0,145024
2144,76192,0.3836,0.125,8,8,16,128,1,2,126,0,145024
2160,76384,0.3872,0.125,8,8,16,128,1,2,126,0,145024
2176,76736,0.3815,0.125,8,8,16,128,1,2,126,0,145024
2192,77568,0.3861,0.125,8,8,16,128,1,2,126,0,145024
2208,78272,0.3963,0.125,8,8,16,128,1,2,126,0,145024
2224,76224,0.3974,0.125,8,8,16,128,1,2,126,0,145024
2240,76992,0.3937,0.125,8,8,16,128,1,2,126,0,145024
2256,77536,0.3975,0.125,8,8,16,128,1,2,126,0,145024
2272,77664,0.4011,0.125,8,8,16,128,1,2,126,0,145024
2288,78624,0.4085,0.125,8,8,16,128,1,2,126,0,145024
2304,76800,0.4037,0.125,8,8,16,128,1,2,126,0,145024
2320,76768,0.4102,0.125,8,8,16,128,1,2,126,0,145024
2336,77824,0.4136,0.125,8,8,16,128,1,2,126,0,145024
2352,77472,0.4176,0.125,8,8,16,128,1,2,126,0,145024
2368,77600,0.4185,0.125,8,8,16,128,1,2,126,0,145024
2384,77824,0.4206,0.125,8,8,16,128,1,2,126,0,145024
2400,78112,0.4191,0.125,8,8,16,128,1,2,126,0,145024
2416,78016,0.4257,0.125,8,8,16,128,1,2,126,0,145024
2432,77760,0.4236,0.125,8,8,16,128,1,2,126,0,145024
2448,78496,0.4319,0.125,8,8,16,128,1,2,126,0,145024
2464,78112,0.4251,0.125,8,8,16,128,1,2,126,0,145024
2480,77280,0.4259,0.125,8,8,16,128,1,2,126,0,145024
2496,77600,0.4281,0.125,8,8,16,128,1,2,126,0,145024
2512,78336,0.4318,0.125,8,8,16,128,1,2,126,0,145024
2528,78240,0.4368,0.125,8,8,16,128,1,2,126,0,145024
2544,77600,0.4384,0.125,8,8,16,128,1,2,126,0,145024
2560,77344,0.4358,0.125,8,8,16,128,1,2,126,0,145024
2576,79936,0.4402,0.125,8,8,16,128,1,2,126,0,145024
2592,80864,0.4429,0.125,8,8,16,128,1,2,126,0,145024
2608,80064,0.4421,0.125,8,8,16,128,1,2,126,0,145024
2624,79680,0.446,0.125,8,8,16,128,1,2,126,0,145024
2640,80256,0.4462,0.125,8,8,16,128,1,2,126,0,145024
2656,79136,0.4586,0.125,8,8,16,128,1,2,126,0,145024
2672,79392,0.449,0.125,8,8,16,128,1,2,126,0,145024
2688,80192,0.4559,0.125,8,8,16,128,1,2,126,0,145024
2704,79552,0.4563,0.125,8,8,16,128,1,2,126,0,145024
2720,80224,0.4563,0.125,8,8,16,128,1,2,126,0,145024
2736,81280,0.4643,0.125,8,8,16,128,1,2,126,0,145024
2752,80192,0.468,0.125,8,8,16,128,1,2,126,0,145024
2768,79872,0.4627,0.125,8,8,16,128,1,2,126,0,145024
2784,80736,0.4655,0.125,8,8,16,128,1,2,126,0,145024
2800,81216,0.473,0.125,8,8,16,128,1,2,126,0,145024
2816,80384,0.4656,0.125,8,8,16,128,1,2,126,0,145024
2832,81888,0.4671,0.125,8,8,16,128,1,2,126,0,145024
2848,82432,0.4674,0.125,8,8,16,128,1,2,126,0,145024
2864,81984,0.4769,0.125,8,8,16,128,1,2,126,0,145024
