model,batch_size,id,latency_ns
llama3_70b,16,99,19872
llama3_70b,16,97,29536
llama3_70b,32,1,45024
llama3_70b,32,10,40640
llama3_70b,32,100,44672
llama3_70b,32,11,48448
llama3_70b,32,13,50720
llama3_70b,32,14,50688
llama3_70b,32,15,47872
llama3_70b,32,12,46656
llama3_70b,32,17,50528
llama3_70b,32,16,42496
llama3_70b,32,18,43328
llama3_70b,32,19,45568
llama3_70b,32,2,48064
llama3_70b,32,22,44864
llama3_70b,32,21,50176
llama3_70b,32,20,49888
llama3_70b,32,23,50304
llama3_70b,32,24,47328
llama3_70b,32,25,45376
llama3_70b,32,27,42016
llama3_70b,32,26,53024
llama3_70b,32,28,52448
llama3_70b,32,29,48256
llama3_70b,32,3,48608
llama3_70b,32,30,51360
llama3_70b,32,32,45120
llama3_70b,32,31,54368
llama3_70b,32,36,47296
llama3_70b,32,34,46976
llama3_70b,32,33,46432
llama3_70b,32,37,44192
llama3_70b,32,35,42912
llama3_70b,32,38,46816
llama3_70b,32,4,48928
llama3_70b,32,39,49376
llama3_70b,32,40,52224
llama3_70b,32,42,42688
llama3_70b,32,43,50976
llama3_70b,32,41,51200
llama3_70b,32,44,46112
llama3_70b,32,45,50400
llama3_70b,32,46,51648
llama3_70b,32,47,50560
llama3_70b,32,49,48192
llama3_70b,32,48,50432
llama3_70b,32,50,51616
llama3_70b,32,52,52576
llama3_70b,32,53,47648
llama3_70b,32,51,44928
llama3_70b,32,5,46976
llama3_70b,32,54,44480
llama3_70b,32,55,44320
llama3_70b,32,56,45984
llama3_70b,32,59,45760
llama3_70b,32,58,42336
llama3_70b,32,57,50976
llama3_70b,32,6,54368
llama3_70b,32,61,51680
llama3_70b,32,60,43456
llama3_70b,32,62,37344
llama3_70b,32,63,49344
llama3_70b,32,64,52512
llama3_70b,32,65,48736
llama3_70b,32,66,46496
llama3_70b,32,67,37696
llama3_70b,32,68,48896
llama3_70b,32,69,53728
llama3_70b,32,7,49152
llama3_70b,32,70,54144
llama3_70b,32,71,43424
llama3_70b,32,72,49408
llama3_70b,32,73,40864
llama3_70b,32,74,48768
llama3_70b,32,75,55712
llama3_70b,32,76,51072
llama3_70b,32,78,50048
llama3_70b,32,77,43200
llama3_70b,32,79,52416
llama3_70b,32,8,48736
llama3_70b,32,80,41376
llama3_70b,32,82,47136
llama3_70b,32,81,53088
llama3_70b,32,83,48704
llama3_70b,32,84,47936
llama3_70b,32,86,50912
llama3_70b,32,85,54880
llama3_70b,32,87,57760
llama3_70b,32,88,45728
llama3_70b,32,89,48448
llama3_70b,32,9,58240
llama3_70b,32,90,41760
llama3_70b,32,91,45760
llama3_70b,32,92,40864
llama3_70b,32,95,41344
llama3_70b,32,93,48256
llama3_70b,32,94,52064
llama3_70b,32,96,41408
llama3_70b,32,97,49248
llama3_70b,32,98,43520
llama3_70b,32,99,50976
llama3_70b,64,10,78528
llama3_70b,64,1,72320
llama3_70b,64,100,81856
llama3_70b,64,11,85344
llama3_70b,64,12,87552
llama3_70b,64,14,80320
llama3_70b,64,13,97376
llama3_70b,64,15,82624
llama3_70b,64,16,87456
llama3_70b,64,17,82368
llama3_70b,64,18,77216
llama3_70b,64,19,88768
llama3_70b,64,2,83232
llama3_70b,64,20,84064
llama3_70b,64,21,87456
llama3_70b,64,22,82688
llama3_70b,64,24,88096
llama3_70b,64,25,84928
llama3_70b,64,23,86240
llama3_70b,64,26,85152
llama3_70b,64,27,84704
llama3_70b,64,28,92416
llama3_70b,64,29,82144
llama3_70b,64,3,77728
llama3_70b,64,30,92192
llama3_70b,64,31,89376
llama3_70b,64,32,77888
llama3_70b,64,34,89728
llama3_70b,64,33,95200
llama3_70b,64,35,84544
llama3_70b,64,37,82240
llama3_70b,64,36,80832
llama3_70b,64,39,87808
llama3_70b,64,4,85632
llama3_70b,64,38,83712
llama3_70b,64,40,93664
llama3_70b,64,41,83712
llama3_70b,64,42,86784
llama3_70b,64,43,89760
llama3_70b,64,44,92416
llama3_70b,64,46,82368
llama3_70b,64,47,83360
llama3_70b,64,45,76736
llama3_70b,64,48,80224
llama3_70b,64,49,94720
llama3_70b,64,5,81216
llama3_70b,64,50,85312
llama3_70b,64,51,85920
llama3_70b,64,52,86624
llama3_70b,64,54,90752
llama3_70b,64,53,85152
llama3_70b,64,55,87136
llama3_70b,64,56,82400
llama3_70b,64,57,89760
llama3_70b,64,58,79040
llama3_70b,64,59,87296
llama3_70b,64,6,74624
llama3_70b,64,60,84128
llama3_70b,64,61,84480
llama3_70b,64,62,79616
llama3_70b,64,63,91360
llama3_70b,64,64,80896
llama3_70b,64,65,87424
llama3_70b,64,66,85120
llama3_70b,64,67,93056
llama3_70b,64,68,88320
llama3_70b,64,7,85792
llama3_70b,64,69,83680
llama3_70b,64,70,75520
llama3_70b,64,71,78016
llama3_70b,64,72,77760
llama3_70b,64,74,85216
llama3_70b,64,73,91424
llama3_70b,64,77,94784
llama3_70b,64,75,92448
llama3_70b,64,76,90016
llama3_70b,64,8,82848
llama3_70b,64,79,88512
llama3_70b,64,78,86816
llama3_70b,64,80,88512
llama3_70b,64,81,92736
llama3_70b,64,82,82336
llama3_70b,64,83,90464
llama3_70b,64,84,87040
llama3_70b,64,85,90304
llama3_70b,64,86,87424
llama3_70b,64,88,78880
llama3_70b,64,87,92160
llama3_70b,64,89,91520
llama3_70b,64,9,84000
llama3_70b,64,91,76800
llama3_70b,64,90,81120
llama3_70b,64,93,79904
llama3_70b,64,92,91488
llama3_70b,64,94,87168
llama3_70b,64,95,83968
llama3_70b,64,96,95424
llama3_70b,64,97,89344
llama3_70b,64,98,90656
llama3_70b,64,99,86112
