tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,5568,0.0012,0.125,1,1,1,32,1,4,182,0,69632
32,5568,0.0016,0.125,1,1,1,32,1,4,182,0,69632
48,5184,0.0019,0.125,1,1,1,32,1,4,182,0,69632
64,5696,0.002,0.125,1,1,1,32,1,4,182,0,69632
80,5376,0.0022,0.125,1,1,1,32,1,4,182,0,69632
96,5632,0.0025,0.125,1,1,1,32,1,4,182,0,69632
112,5440,0.0028,0.125,1,1,1,32,1,4,182,0,69632
128,5600,0.0029,0.125,1,1,1,32,1,4,182,0,69632
144,5472,0.0032,0.125,2,1,1,32,1,4,182,0,69632
160,5504,0.0034,0.125,2,1,1,32,1,4,182,0,69632
176,5728,0.0037,0.125,2,1,1,32,1,4,182,0,69632
192,6112,0.0038,0.125,2,1,1,32,1,4,182,0,69632
208,5536,0.0041,0.125,2,1,1,32,1,4,182,0,69632
224,5792,0.0044,0.125,2,1,1,32,1,4,182,0,69632
240,5888,0.0044,0.125,2,1,1,32,1,4,182,0,69632
256,6016,0.0047,0.125,2,1,1,32,1,4,182,0,69632
272,5568,0.0051,0.125,3,1,1,32,1,4,182,0,69632
288,5504,0.0054,0.125,3,1,1,32,1,4,182,0,69632
304,5856,0.0057,0.125,3,1,1,32,1,4,182,0,69632
320,5824,0.0055,0.125,3,1,1,32,1,4,182,0,69632
336,5568,0.0061,0.125,3,1,1,32,1,4,182,0,69632
352,5536,0.0063,0.125,3,1,1,32,1,4,182,0,69632
368,5824,0.0062,0.125,3,1,1,32,1,4,182,0,69632
384,5824,0.0067,0.125,3,1,1,32,1,4,182,0,69632
400,5600,0.0066,0.125,4,1,1,32,1,4,182,0,69632
416,5472,0.007,0.125,4,1,1,32,1,4,182,0,69632
432,5824,0.0073,0.125,4,1,1,32,1,4,182,0,69632
448,5792,0.0076,0.125,4,1,1,32,1,4,182,0,69632
464,5632,0.0077,0.125,4,1,1,32,1,4,182,0,69632
480,5568,0.0079,0.125,4,1,1,32,1,4,182,0,69632
496,5888,0.0082,0.125,4,1,1,32,1,4,182,0,69632
512,5792,0.0084,0.125,4,1,1,32,1,4,182,0,69632
528,5632,0.0086,0.125,5,1,1,32,1,4,182,0,69632
544,5600,0.009,0.125,5,1,1,32,1,4,182,0,69632
560,5920,0.009,0.125,5,1,1,32,1,4,182,0,69632
576,5856,0.0094,0.125,5,1,1,32,1,4,182,0,69632
