tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,5888,0.0013,0.125,1,1,1,32,1,4,182,0,69632
32,5312,0.0016,0.125,1,1,1,32,1,4,182,0,69632
48,5728,0.0019,0.125,1,1,1,32,1,4,182,0,69632
64,5536,0.0021,0.125,1,1,1,32,1,4,182,0,69632
80,5856,0.0023,0.125,1,1,1,32,1,4,182,0,69632
96,5664,0.0025,0.125,1,1,1,32,1,4,182,0,69632
112,5888,0.0028,0.125,1,1,1,32,1,4,182,0,69632
128,5600,0.0029,0.125,1,1,1,32,1,4,182,0,69632
144,5952,0.0034,0.125,2,1,1,32,1,4,182,0,69632
160,5952,0.0035,0.125,2,1,1,32,1,4,182,0,69632
176,5728,0.0036,0.125,2,1,1,32,1,4,182,0,69632
192,5760,0.0037,0.125,2,1,1,32,1,4,182,0,69632
208,6016,0.004,0.125,2,1,1,32,1,4,182,0,69632
224,6080,0.0043,0.125,2,1,1,32,1,4,182,0,69632
240,5728,0.0043,0.125,2,1,1,32,1,4,182,0,69632
256,5728,0.0045,0.125,2,1,1,32,1,4,182,0,69632
272,5984,0.0051,0.125,3,1,1,32,1,4,182,0,69632
288,5920,0.0053,0.125,3,1,1,32,1,4,182,0,69632
304,5760,0.0053,0.125,3,1,1,32,1,4,182,0,69632
320,5632,0.0055,0.125,3,1,1,32,1,4,182,0,69632
336,6016,0.0058,0.125,3,1,1,32,1,4,182,0,69632
352,5952,0.0063,0.125,3,1,1,32,1,4,182,0,69632
368,5760,0.0062,0.125,3,1,1,32,1,4,182,0,69632
384,5696,0.0065,0.125,3,1,1,32,1,4,182,0,69632
400,5984,0.0068,0.125,4,1,1,32,1,4,182,0,69632
416,5952,0.0069,0.125,4,1,1,32,1,4,182,0,69632
432,5760,0.0069,0.125,4,1,1,32,1,4,182,0,69632
448,5664,0.0072,0.125,4,1,1,32,1,4,182,0,69632
464,6048,0.0076,0.125,4,1,1,32,1,4,182,0,69632
480,6080,0.008,0.125,4,1,1,32,1,4,182,0,69632
496,5792,0.0079,0.125,4,1,1,32,1,4,182,0,69632
512,5696,0.0083,0.125,4,1,1,32,1,4,182,0,69632
528,6016,0.0084,0.125,5,1,1,32,1,4,182,0,69632
544,5952,0.0083,0.125,5,1,1,32,1,4,182,0,69632
560,5760,0.0088,0.125,5,1,1,32,1,4,182,0,69632
576,5696,0.0091,0.125,5,1,1,32,1,4,182,0,69632
592,6080,0.0092,0.125,5,1,1,32,1,4,182,0,69632
608,6144,0.0097,0.125,5,1,1,32,1,4,182,0,69632
624,5760,0.01,0.125,5,1,1,32,1,4,182,0,69632
640,5792,0.0098,0.125,5,1,1,32,1,4,182,0,69632
656,6080,0.0107,0.125,6,1,1,32,1,4,182,0,69632
672,6016,0.0105,0.125,6,1,1,32,1,4,182,0,69632
688,5728,0.0105,0.125,6,1,1,32,1,4,182,0,69632
704,5760,0.0111,0.125,6,1,1,32,1,4,182,0,69632
720,6048,0.0114,0.125,6,1,1,32,1,4,182,0,69632
736,6080,0.0114,0.125,6,1,1,32,1,4,182,0,69632
752,5824,0.0114,0.125,6,1,1,32,1,4,182,0,69632
768,5760,0.0114,0.125,6,1,1,32,1,4,182,0,69632
784,6080,0.0125,0.125,7,1,1,32,1,4,182,0,69632
800,5984,0.0127,0.125,7,1,1,32,1,4,182,0,69632
816,5760,0.0127,0.125,7,1,1,32,1,4,182,0,69632
832,5760,0.0124,0.125,7,1,1,32,1,4,182,0,69632
848,6080,0.0128,0.125,7,1,1,32,1,4,182,0,69632
