tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
16,5920,0.0016,0.125,1,1,2,32,1,4,182,0,69632
32,5248,0.0021,0.125,1,1,2,32,1,4,182,0,69632
48,5632,0.0026,0.125,1,1,2,32,1,4,182,0,69632
64,5344,0.0031,0.125,1,1,2,32,1,4,182,0,69632
80,5632,0.0034,0.125,1,1,2,32,1,4,182,0,69632
96,5440,0.0039,0.125,1,1,2,32,1,4,182,0,69632
112,5760,0.0043,0.125,1,1,2,32,1,4,182,0,69632
128,5440,0.0047,0.125,1,1,2,32,1,4,182,0,69632
144,5760,0.005,0.125,2,1,2,32,1,4,182,0,69632
160,5856,0.0054,0.125,2,1,2,32,1,4,182,0,69632
176,5568,0.006,0.125,2,1,2,32,1,4,182,0,69632
192,5568,0.0066,0.125,2,1,2,32,1,4,182,0,69632
208,5856,0.0067,0.125,2,1,2,32,1,4,182,0,69632
224,5920,0.0072,0.125,2,1,2,32,1,4,182,0,69632
240,5632,0.0079,0.125,2,1,2,32,1,4,182,0,69632
256,5600,0.0081,0.125,2,1,2,32,1,4,182,0,69632
272,5760,0.0086,0.125,3,1,2,32,1,4,182,0,69632
288,5824,0.009,0.125,3,1,2,32,1,4,182,0,69632
304,5536,0.0098,0.125,3,1,2,32,1,4,182,0,69632
320,5536,0.0098,0.125,3,1,2,32,1,4,182,0,69632
336,5920,0.0102,0.125,3,1,2,32,1,4,182,0,69632
352,5856,0.0108,0.125,3,1,2,32,1,4,182,0,69632
368,5632,0.0112,0.125,3,1,2,32,1,4,182,0,69632
384,5568,0.0114,0.125,3,1,2,32,1,4,182,0,69632
400,5856,0.0121,0.125,4,1,2,32,1,4,182,0,69632
416,5856,0.0123,0.125,4,1,2,32,1,4,182,0,69632
432,5536,0.0131,0.125,4,1,2,32,1,4,182,0,69632
448,5568,0.0139,0.125,4,1,2,32,1,4,182,0,69632
464,5856,0.015,0.125,4,1,2,32,1,4,182,0,69632
480,5952,0.014,0.125,4,1,2,32,1,4,182,0,69632
496,5696,0.0152,0.125,4,1,2,32,1,4,182,0,69632
512,5696,0.0151,0.125,4,1,2,32,1,4,182,0,69632
528,6048,0.0156,0.125,5,1,2,32,1,4,182,0,69632
