tokens,latency_ns
7440,1418938
7456,1426140
7472,1416796
7488,1415803
7504,1415900
7520,1411996
7536,1422970
7552,1410970
7568,1419612
7584,1412636
7600,1416188
7616,1412700
7632,1413020
7648,1413146
7664,1422428
7680,1410715
7696,1414812
7712,1415900
7728,1421306
7744,1415804
7760,1413115
7776,1423484
7792,1423452
7808,1416892
7824,1422362
7840,1420892
7856,1421210
7872,1412186
7888,1428636
7904,1418492
7920,1417116
7936,1418972
7952,1410844
7968,1415580
7984,1414491
8000,1422523
8016,1424379
8032,1410492
8048,1422972
8064,1424603
8080,1421724
8096,1424732
8112,1419579
8128,1415067
8144,1412092
8160,1418619
8176,1417468
8192,1417723
